t,rpm_ref,rpm,theta_e,va,vb,vc,duty_a,duty_b,duty_c,ia,ib,ic,ialpha,ibeta,id_ref,id_true,iq_ref,iq_true,Te
0.11597900,14000.00000000,10854.42571677,0.64112363,-198.27226257,256.77651978,-58.50424957,0.02599087,0.97400916,0.31717420,-19.28549501,16.72146742,2.56402758,-19.28549501,8.17380170,-11.08063126,-10.56714217,17.91380692,18.08526633,6.96061389
0.11599900,14000.00000000,10860.78867745,0.75482584,-198.27226257,256.77651978,-58.50424957,0.02599087,0.97400916,0.31717420,-19.56960191,15.54056871,4.02903320,-19.56960191,6.64618812,-11.08063126,-9.70060517,17.91380692,18.24936697,7.02021446
0.11601900,14000.00000000,10867.09014165,0.86859452,-243.99133301,215.47518921,28.51615143,0.02138904,0.97861099,0.58911300,-20.70005536,13.09533547,7.60471989,-20.70005536,3.17000838,-12.24680424,-10.95011522,17.08531380,17.85038436,6.87175123
0.11603900,14000.00000000,10873.32971618,0.98242873,-243.99133301,215.47518921,28.51615143,0.02138904,0.97861099,0.58911300,-21.00024123,11.07855124,9.92168999,-21.00024123,0.66791415,-12.24680424,-11.09961186,17.08531380,17.83969892,6.86823779
0.11605900,14000.00000000,10879.56873166,1.09632834,-259.80691528,167.18997192,92.61694336,0.05521157,0.94478846,0.78942794,-20.90878701,8.71708546,12.19170154,-20.90878701,-2.00607053,-12.24680424,-11.33697039,17.08531380,17.68261281,6.80870440
0.11607900,14000.00000000,10885.72075755,1.21029278,-259.80691528,167.18997192,92.61694336,0.05521157,0.94478846,0.78942794,-20.54389218,6.13192745,14.41196473,-20.54389218,-4.78048175,-12.24680424,-11.71995373,17.08531380,17.53702359,6.75415634
0.11609900,14000.00000000,10891.86337776,1.32432154,-259.80691528,167.18997192,92.61694336,0.05521157,0.94478846,0.78942794,-19.73250439,4.36402145,15.36848294,-19.73250439,-6.35342880,-12.24680424,-10.97588968,17.08531380,17.58600673,6.77007741
0.11611900,14000.00000000,10897.95601221,1.43841444,-262.88717651,106.70043945,156.18673706,0.06346467,0.83343887,0.93653536,-18.74464995,1.20663703,17.53801291,-18.74464995,-9.42892426,-12.24680424,-11.82063465,17.08531380,17.33606388,6.67715204
0.11613900,14000.00000000,10904.02178504,1.55257090,-262.88717651,106.70043945,156.18673706,0.06346467,0.83343887,0.93653536,-17.58766036,-0.93118863,18.51884899,-17.58766036,-11.22948446,-12.24680424,-11.54814427,17.08531380,17.38008866,6.69304303
0.11615900,14000.00000000,10910.09688985,1.66679100,-245.75718689,35.27748108,210.47970581,0.02475324,0.61024213,0.97524679,-16.09501371,-3.33146795,19.42648166,-16.09501371,-13.13930834,-12.24680424,-11.53615187,17.08531380,17.28028037,6.65456040
0.11617900,14000.00000000,10916.12382968,1.78107441,-245.75718689,35.27748108,210.47970581,0.02475324,0.61024213,0.97524679,-14.40238475,-5.92784048,20.33022523,-14.40238475,-15.16010131,-12.24680424,-11.81993174,17.08531380,17.24953831,6.64382315
0.11619900,14000.00000000,10922.17803691,1.89542104,-245.75718689,35.27748108,210.47970581,0.02475324,0.61024213,0.97524679,-12.98590901,-7.29531754,20.28122655,-12.98590901,-15.92132515,-12.24680424,-10.94786602,17.08531380,17.38581770,6.69290110
0.11621900,14000.00000000,10928.20756576,2.00983102,-207.97644043,-40.49551392,248.47195435,0.02453291,0.37345153,0.97546709,-10.54800354,-10.30460162,20.85260516,-10.54800354,-17.98862173,-12.24680424,-11.79902737,17.08531380,17.19400603,6.62235350
0.11623900,14000.00000000,10934.23144099,2.12430403,-207.97644043,-40.49551392,248.47195435,0.02453291,0.37345153,0.97546709,-8.66051047,-12.02460021,20.68511067,-8.66051047,-18.88496038,-12.24680424,-11.51255979,17.08531380,17.29471415,6.66002698
0.11625900,14000.00000000,10940.28279444,2.23884034,-152.64112854,-113.57193756,266.21307373,0.06369355,0.14508769,0.93630648,-6.40456579,-13.85689307,20.26145886,-6.40456579,-19.69823967,-12.24680424,-11.49648489,17.08531380,17.22991423,6.63501084
0.11627900,14000.00000000,10946.29433412,2.35343977,-152.64112854,-113.57193756,266.21307373,0.06369355,0.14508769,0.93630648,-3.89404281,-15.81001859,19.70406140,-3.89404281,-20.50406364,-12.24680424,-11.79253845,17.08531380,17.21964669,6.63220398
0.11629900,14000.00000000,10952.34117084,2.46810229,-152.64112854,-113.57193756,266.21307373,0.06369355,0.14508769,0.93630648,-2.30299874,-16.51134395,18.81434269,-2.30299874,-20.39529469,-12.24680424,-10.92077522,17.08531380,17.37839226,6.68993665
0.11631900,14000.00000000,10958.36770864,2.58282813,-84.46891785,-177.64086914,262.10980225,0.23603460,0.04192638,0.95807362,0.87962497,-18.47277609,17.59315113,0.87962497,-20.82267279,-12.24680424,-11.78475504,17.08531380,17.18944417,6.62054128
