t,id_ref,iq_ref,id,iq,ia,ib,ic,vd_cmd,vq_cmd,va_ref,vb_ref,vc_ref,da,db,dc,va,vb,vc,torque_e,omega_m
0.004300000,0.000000000,5.375000000,0.002827444,5.168779076,-0.560175328,4.730016490,-4.169841162,-0.102435501,1.838588903,-0.302086062,1.724171967,-1.422085905,0.493706540,0.535920249,0.470373210,-0.302086062,1.724171967,-1.422085905,0.814082705,12.259224525
0.004350000,0.000000000,5.437500000,0.002935811,5.231215072,-0.589466846,4.796245551,-4.206778705,-0.106387648,1.875515320,-0.318087030,1.762406392,-1.444319362,0.493373187,0.536716800,0.469910013,-0.318087030,1.762406392,-1.444319362,0.823916374,12.579168659
0.004400000,0.000000000,5.500000000,0.003047280,5.293652214,-0.619876133,4.862836865,-4.242960732,-0.110440679,1.912870196,-0.334760206,1.801211138,-1.466450932,0.493025829,0.537525232,0.469448939,-0.334760206,1.801211138,-1.466450932,0.833750224,12.903197275
0.004450000,0.000000000,5.562500000,0.003161911,5.356090507,-0.651429923,4.929790974,-4.278361051,-0.114595908,1.950653507,-0.352126405,1.840587531,-1.488461126,0.492664033,0.538345574,0.468990393,-0.352126405,1.840587531,-1.488461126,0.843584255,13.231310278
0.004500000,0.000000000,5.625000000,0.003279766,5.418529956,-0.684155123,4.997107858,-4.312952735,-0.118854649,1.988865226,-0.370206803,1.880536584,-1.510329781,0.492287358,0.539177846,0.468534796,-0.370206803,1.880536584,-1.510329781,0.853418468,13.563507570
0.004550000,0.000000000,5.687500000,0.003400904,5.480970565,-0.718078802,5.064786903,-4.346708101,-0.123218216,2.027505326,-0.389022926,1.921058973,-1.532036046,0.491895356,0.540022062,0.468082582,-0.389022926,1.921058973,-1.532036046,0.863252864,13.899789057
0.004600000,0.000000000,5.750000000,0.003525389,5.543412340,-0.753228173,5.132826875,-4.379598703,-0.127687929,2.066573781,-0.408596650,1.962155012,-1.553558362,0.491487570,0.540878229,0.467634201,-0.408596650,1.962155012,-1.553558362,0.873087444,14.240154640
0.004650000,0.000000000,5.812500000,0.003653283,5.605855287,-0.789630579,5.201225883,-4.411595304,-0.132265105,2.106070563,-0.428950189,2.003824629,-1.574874440,0.491063538,0.541746346,0.467190116,-0.428950189,2.003824629,-1.574874440,0.882922208,14.584604227
0.004700000,0.000000000,5.875000000,0.003784648,5.668299410,-0.827313475,5.269981346,-4.442667871,-0.136951066,2.145995645,-0.450106089,2.046067338,-1.595961249,0.490622790,0.542626403,0.466750807,-0.450106089,2.046067338,-1.595961249,0.892757157,14.933137720
0.004750000,0.000000000,5.937500000,0.003919549,5.730744717,-0.866304412,5.339089964,-4.472785552,-0.141747133,2.186348999,-0.472087217,2.088882212,-1.616794995,0.490164850,0.543518379,0.466316771,-0.472087217,2.088882212,-1.616794995,0.902592293,15.285755025
0.004800000,0.000000000,6.000000000,0.004058047,5.793191215,-0.906631016,5.408547677,-4.501916660,-0.146654631,2.227130596,-0.494916755,2.132267853,-1.637351098,0.489689234,0.544422247,0.465888519,-0.494916755,2.132267853,-1.637351098,0.912427616,15.642456048
0.004850000,0.000000000,6.062500000,0.004200209,5.855638911,-0.948320968,5.478349632,-4.530028664,-0.151674887,2.268340409,-0.518618184,2.176222365,-1.657604181,0.489195454,0.545337966,0.465466580,-0.518618184,2.176222365,-1.657604181,0.922263128,16.003240695
0.004900000,0.000000000,6.125000000,0.004346098,5.918087812,-0.991401983,5.548490148,-4.557088165,-0.156809226,2.309978408,-0.543215275,2.220743320,-1.677528045,0.488683015,0.546265486,0.465051499,-0.543215275,2.220743320,-1.677528045,0.932098830,16.368108871
0.004950000,0.000000000,6.187500000,0.004495780,5.980537927,-1.035901789,5.618962676,-4.583060887,-0.162058979,2.352044563,-0.568732074,2.265827727,-1.697095652,0.488151415,0.547204744,0.464643841,-0.568732074,2.265827727,-1.697095652,0.941934724,16.737060484
0.005000000,0.000000000,6.250000000,0.004649321,6.042989265,-1.081848101,5.689759760,-4.607911659,-0.167425476,2.394538846,-0.595192889,2.311471999,-1.716279111,0.487600148,0.548155667,0.464244185,-0.595192889,2.311471999,-1.716279111,0.951770809,17.110095441
0.005050000,0.000000000,6.312500000,0.004806785,6.105441833,-1.129268598,5.760873000,-4.631604402,-0.172910051,2.437461225,-0.622622272,2.357671921,-1.735049649,0.487028703,0.549118165,0.463853132,-0.622622272,2.357671921,-1.735049649,0.961607089,17.487213649
